ID;Tipo;SKU;Nombre;Publicado;¨Est  destacado?;Visibilidad en el cat logo;Descripci¢n corta;Descripci¢n;D¡a en que empieza el precio rebajado;D¡a en que termina el precio rebajado;Estado del impuesto;Clase de impuesto;¨En inventario?;Inventario;Cantidad de bajo inventario;¨Permitir reservas de productos agotados?;¨Vendido individualmente?;Peso (kg);Longitud (cm);Anchura (cm);Altura (cm);¨Permitir valoraciones de clientes?;Nota de compra;Precio rebajado;Precio normal;Categor¡as;Etiquetas;Clase de env¡o;Im genes;L¡mite de descargas;D¡as de caducidad de la descarga;Superior;Productos agrupados;Ventas dirigidas;Ventas cruzadas;URL externa;Texto del bot¢n;Posici¢n;Nombre del atributo 1;Valor(es) del atributo 1;Atributo visible 1;Atributo global 1
; ; ;Ordenador Dell Preci; 1; 0; visible;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 8 PRO<br /><br />GRADO B<br /><br />Ordenador de Torre<br /><br />Especificaciones:<br /><br />· Marca                                             Dell<br />· Procesador                                    Intel Xeon E5 1607 v3 (4 nucleos @ 3.1Ghz)<br />· Gráfica dedicada                           Nvidia NVS310 de 1 GB Dedicado. <br />· Disco Duro                                     240GB SDD (Varias marcas, segun disponibilidad)<br />· Memorias                                      16GB DDR4<br />· Lector/Grabador                           Grabadora de DVD<br />· Conexiones frontales     x1 USB 3.0, x3 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 3.0, x2 USB 2.0, x1 RJ45, 1x puerto serie, x2 Jack de audio, x2 PS2, <br />x2 DisplayPort<br /><br /><br />- No incluyen cables de alimentación<br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 8 PRO<br /><br />GRADO B<br /><br />Ordenador de Torre<br /><br />Especificaciones:<br /><br />· Marca                                             Dell<br />· Procesador                                    Intel Xeon E5 1607 v3 (4 nucleos @ 3.1Ghz)<br />· Gráfica dedicada                           Nvidia NVS310 de 1 GB Dedicado. <br />· Disco Duro                                     240GB SDD (Varias marcas, segun disponibilidad)<br />· Memorias                                      16GB DDR4<br />· Lector/Grabador                           Grabadora de DVD<br />· Conexiones frontales     x1 USB 3.0, x3 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 3.0, x2 USB 2.0, x1 RJ45, 1x puerto serie, x2 Jack de audio, x2 PS2, <br />x2 DisplayPort<br /><br /><br />- No incluyen cables de alimentación<br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; taxable; ; 1; ; ; 0; 0; ; ; ; ; 1; ; ; 345;Ordenadores,Torres; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910dpt58103gb_1.jpg; ; ; ; ; ; ; ; ; 0; ; ; ; ;
; ; ;Ordenador Dell Optip; 1; 0; visible;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales.<br /><br />Estos equipos incluyen incluyen licencia de Windows 7 Pro<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca     DELL<br />· Procesador     Intel Core2Duo E6550 (2 nucleos @ 2.33 Ghz)<br />· Disco Duro     120 GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR2 (4 ZOCALOS)<br />· Lector/Grabador     Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x6 USB 2.0, x1 VGA, x1 RJ45, x1 Puerto Serie, x1 Puerto Paralelo, x2 Jack de audio (Line In/Out) <br /><br />· Incluyen cable de alimentacion<br />· Sistema operativo Preinstalado Windows 10 Pro<br />· Testeados y 100% verificados;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales.<br /><br />Estos equipos incluyen incluyen licencia de Windows 7 Pro<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca     DELL<br />· Procesador     Intel Core2Duo E6550 (2 nucleos @ 2.33 Ghz)<br />· Disco Duro     120 GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR2 (4 ZOCALOS)<br />· Lector/Grabador     Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x6 USB 2.0, x1 VGA, x1 RJ45, x1 Puerto Serie, x1 Puerto Paralelo, x2 Jack de audio (Line In/Out) <br /><br />· Incluyen cable de alimentacion<br />· Sistema operativo Preinstalado Windows 10 Pro<br />· Testeados y 100% verificados; ; ; taxable; ; 1; ; ; 0; 0; ; ; ; ; 1; ; ; 55;Ordenadores,Sobremesas SFF; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910d7552gb_1.jpg; ; ; ; ; ; ; ; ; 0; ; ; ; ;
; ; ;Ordenador Dell Optip; 1; 0; visible;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia original de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca     Dell<br />· Procesador     Intel Core2duo E8400 (2 nucleos @ 3.00 Ghz, 4 hilos)<br />· Disco Duro     120 GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3 (4 ZOCALOS)<br />· Lector/Grabador    Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x6 USB 2.0, x1 VGA, x1 RJ45, x1 eSATA, x2 Jack de audio    (Line In/Out/Mic)<br />· Otras conexiones    (1) PCIe X16 , (2) PCI<br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado.<br />- Incluye cable de alimentación<br />- Testeados y 100% verificados;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia original de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca     Dell<br />· Procesador     Intel Core2duo E8400 (2 nucleos @ 3.00 Ghz, 4 hilos)<br />· Disco Duro     120 GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3 (4 ZOCALOS)<br />· Lector/Grabador    Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x6 USB 2.0, x1 VGA, x1 RJ45, x1 eSATA, x2 Jack de audio    (Line In/Out/Mic)<br />· Otras conexiones    (1) PCIe X16 , (2) PCI<br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado.<br />- Incluye cable de alimentación<br />- Testeados y 100% verificados; ; ; taxable; ; 1; ; ; 0; 0; ; ; ; ; 1; ; ; 55;Ordenadores,Sobremesas SFF; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910do7802gb_1.jpg; ; ; ; ; ; ; ; ; 0; ; ; ; ;
; ; ;Ordenador Dell Optip; 1; 0; visible;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia original de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca     Dell<br />· Procesador     Intel Core2duo E7500 (2 nucleos @ 2.93 Ghz, 4 hilos)<br />· Disco Duro     120 GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3 (4 ZOCALOS)<br />· Lector/Grabador    Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x6 USB 2.0, x1 VGA, x1 RJ45, x1 eSATA, x2 Jack de audio    (Line In/Out/Mic)<br />· Otras conexiones    (1) PCIe X16 , (2) PCI<br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado.<br />- Incluye cable de alimentación<br />- Testeados y 100% verificados;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia original de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca     Dell<br />· Procesador     Intel Core2duo E7500 (2 nucleos @ 2.93 Ghz, 4 hilos)<br />· Disco Duro     120 GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3 (4 ZOCALOS)<br />· Lector/Grabador    Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x6 USB 2.0, x1 VGA, x1 RJ45, x1 eSATA, x2 Jack de audio    (Line In/Out/Mic)<br />· Otras conexiones    (1) PCIe X16 , (2) PCI<br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado.<br />- Incluye cable de alimentación<br />- Testeados y 100% verificados; ; ; taxable; ; 1; ; ; 0; 0; ; ; ; ; 1; ; ; 55;Ordenadores,Sobremesas SFF; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910do7803gb_1.jpg; ; ; ; ; ; ; ; ; 0; ; ; ; ;
; ; ;Ordenador Lenovo M71; 1; 0; visible;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia original de Windows 7 PRO, con Preinstalación de Windows 10<br /><br />Ordenador de Sobremesa<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     Lenovo<br />· Procesador     Intel Pentium G630 (2 nucleos @ 2.7 Ghz)<br />· Disco Duro     500GB SATA HDD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3<br />· Lector/Grabador     Lector de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 2.0, x1 DVI, x1 VGA, x1 RJ45, x1 Puerto Serie, x2 Puerto Ps/2, x3 Jack de audio   (Line In/Out/Mic) <br /><br /><br />- No incluye cable de alimentacion<br />- No incluyen Sistema Operativo instalado<br />- Testeados y 100% verificados<br />;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia original de Windows 7 PRO, con Preinstalación de Windows 10<br /><br />Ordenador de Sobremesa<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     Lenovo<br />· Procesador     Intel Pentium G630 (2 nucleos @ 2.7 Ghz)<br />· Disco Duro     500GB SATA HDD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3<br />· Lector/Grabador     Lector de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 2.0, x1 DVI, x1 VGA, x1 RJ45, x1 Puerto Serie, x2 Puerto Ps/2, x3 Jack de audio   (Line In/Out/Mic) <br /><br /><br />- No incluye cable de alimentacion<br />- No incluyen Sistema Operativo instalado<br />- Testeados y 100% verificados<br />; ; ; taxable; ; 1; ; ; 0; 0; ; ; ; ; 1; ; ; 99;Ordenadores,Sobremesas SFF; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910lenm71e1gb_1.jpg; ; ; ; ; ; ; ; ; 0; ; ; ; ;
; ; ;Ordenador Lenovo M73; 1; 0; visible;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca                   Lenovo<br />· Procesador           Intel Pentium G1820 (2 nucleos @ 2.7 Ghz)<br />· Disco Duro            120GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias              4GB DDR3 (2 ZOCALOS)<br />· Lector/Grabador    NO<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x2 USB 3.0, x2 USB 2.0, x1 DisplayPort, x1 VGA, x1 RJ45, x1 Puerto Serie, x3 Jack de audio    (Line In/Out/Mic)<br /><br />- Sistema operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca                   Lenovo<br />· Procesador           Intel Pentium G1820 (2 nucleos @ 2.7 Ghz)<br />· Disco Duro            120GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias              4GB DDR3 (2 ZOCALOS)<br />· Lector/Grabador    NO<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x2 USB 3.0, x2 USB 2.0, x1 DisplayPort, x1 VGA, x1 RJ45, x1 Puerto Serie, x3 Jack de audio    (Line In/Out/Mic)<br /><br />- Sistema operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; taxable; ; 1; ; ; 0; 0; ; ; ; ; 1; ; ; 65;Ordenadores,Sobremesas SFF; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910lenm73110gb_1.jpg; ; ; ; ; ; ; ; ; 0; ; ; ; ;
; ; ;Ordenador Lenovo M73; 1; 0; visible;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 8 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca                   Lenovo<br />· Procesador           Intel Pentium G3220 (2 nucleos @ 3.0 Ghz)<br />· Disco Duro            240GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias              4GB DDR3 (2 ZOCALOS)<br />· Lector/Grabador    Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x2 USB 3.0, x2 USB 2.0, x1 DisplayPort, x1 VGA, x1 RJ45, x1 Puerto Serie, x3 Jack de audio    (Line In/Out/Mic)<br /><br />- Sistema operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 8 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca                   Lenovo<br />· Procesador           Intel Pentium G3220 (2 nucleos @ 3.0 Ghz)<br />· Disco Duro            240GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias              4GB DDR3 (2 ZOCALOS)<br />· Lector/Grabador    Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x2 USB 3.0, x2 USB 2.0, x1 DisplayPort, x1 VGA, x1 RJ45, x1 Puerto Serie, x3 Jack de audio    (Line In/Out/Mic)<br /><br />- Sistema operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; taxable; ; 1; ; ; 0; 0; ; ; ; ; 1; ; ; 75;Ordenadores,Sobremesas SFF; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910lenm73123gb_1.jpg; ; ; ; ; ; ; ; ; 0; ; ; ; ;
; ; ;Ordenador Lenovo M73; 1; 0; visible;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca                   Lenovo<br />· Procesador           Intel Pentium G1820 (2 nucleos @ 2.7 Ghz)<br />· Disco Duro            240GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias              4GB DDR3 (2 ZOCALOS)<br />· Lector/Grabador    NO<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x2 USB 3.0, x2 USB 2.0, x1 DisplayPort, x1 VGA, x1 RJ45, x1 Puerto Serie, x3 Jack de audio    (Line In/Out/Mic)<br /><br />- Sistema operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca                   Lenovo<br />· Procesador           Intel Pentium G1820 (2 nucleos @ 2.7 Ghz)<br />· Disco Duro            240GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias              4GB DDR3 (2 ZOCALOS)<br />· Lector/Grabador    NO<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x2 USB 3.0, x2 USB 2.0, x1 DisplayPort, x1 VGA, x1 RJ45, x1 Puerto Serie, x3 Jack de audio    (Line In/Out/Mic)<br /><br />- Sistema operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; taxable; ; 1; ; ; 0; 0; ; ; ; ; 1; ; ; 75;Ordenadores,Sobremesas SFF; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910lenm7318gb_1.jpg; ; ; ; ; ; ; ; ; 0; ; ; ; ;
; ; ;Ordenador HP 800 G4 ; 1; 0; visible;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 10 PRO<br /><br />Ordenador de SFF<br /><br />GRADO A<br /><br />Especificaciones:<br /><br />· Marca                              HP<br />· Procesador                      Intel Core i3 8300 (Frecuencia base @ 3.7 Ghz 4 nucleos)<br />· Disco Duro                       256GB SSD M.2 (Varias marcas, segun disponibilidad)<br />· Memorias                         8GB DDR4 (2 ZOCALOS)<br />· Lector/Grabador              NO<br />· Conexiones frontales       x2 USB 3.0, x2 USB 2.0 x2 Jack de audio, x1 USB C<br />· Conexiones traseras        x4 USB 3.0, x2 USB 2.0 x, x2 Displayport, x1 RJ45, x2 Jack de audio (Line In/Out)<br />· Otras conexiones             x1 PCIE X16, x2 PCIE X1, x1 PCIE X16(X4), x2 M.2 PCIe, x1 (para almacenamiento) M.2 PCIe x1 2230 (para WLAN)<br /><br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado<br />- Incluyen cables de alimentación<br />- Testeados y 100% verificados<br />;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 10 PRO<br /><br />Ordenador de SFF<br /><br />GRADO A<br /><br />Especificaciones:<br /><br />· Marca                              HP<br />· Procesador                      Intel Core i3 8300 (Frecuencia base @ 3.7 Ghz 4 nucleos)<br />· Disco Duro                       256GB SSD M.2 (Varias marcas, segun disponibilidad)<br />· Memorias                         8GB DDR4 (2 ZOCALOS)<br />· Lector/Grabador              NO<br />· Conexiones frontales       x2 USB 3.0, x2 USB 2.0 x2 Jack de audio, x1 USB C<br />· Conexiones traseras        x4 USB 3.0, x2 USB 2.0 x, x2 Displayport, x1 RJ45, x2 Jack de audio (Line In/Out)<br />· Otras conexiones             x1 PCIE X16, x2 PCIE X1, x1 PCIE X16(X4), x2 M.2 PCIe, x1 (para almacenamiento) M.2 PCIe x1 2230 (para WLAN)<br /><br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado<br />- Incluyen cables de alimentación<br />- Testeados y 100% verificados<br />; ; ; taxable; ; 1; ; ; 0; 0; ; ; ; ; 1; ; ; 189;Ordenadores,Sobremesas SFF; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hp800g41ga_1.jpg; ; ; ; ; ; ; ; ; 0; ; ; ; ;
; ; ;Ordenador HP 8300 SF; 1; 0; visible;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 PRO<br /><br />Ordenador SFF<br /><br />Especificaciones:<br /><br />· Marca                             HP<br />· Procesador                     Intel Core i3 3220  @ 3.3 Ghz<br />· Gráficos                          HD Intel 2500<br />· Disco Duro                     120GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias                       8GB DDR3 (4 ZOCALOS)<br />· Lector/Grabador             No<br />· Conexiones frontales     x4 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras      x2 USB 2.0, x4 USB 3.0, x1 DisplayPort, x1 VGA, x1 RJ45, x1 Puerto Serie, x2 PS/2     Raton/Teclado, x2 Jack de audio (Line In/Out) <br />· Otras conexiones Pci:	3 PCI  1 PCIe x1 2 PCIe  x16<br /><br /><br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 PRO<br /><br />Ordenador SFF<br /><br />Especificaciones:<br /><br />· Marca                             HP<br />· Procesador                     Intel Core i3 3220  @ 3.3 Ghz<br />· Gráficos                          HD Intel 2500<br />· Disco Duro                     120GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias                       8GB DDR3 (4 ZOCALOS)<br />· Lector/Grabador             No<br />· Conexiones frontales     x4 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras      x2 USB 2.0, x4 USB 3.0, x1 DisplayPort, x1 VGA, x1 RJ45, x1 Puerto Serie, x2 PS/2     Raton/Teclado, x2 Jack de audio (Line In/Out) <br />· Otras conexiones Pci:	3 PCI  1 PCIe x1 2 PCIe  x16<br /><br /><br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; taxable; ; 1; ; ; 0; 0; ; ; ; ; 1; ; ; 89;Ordenadores,Sobremesas SFF; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hp830010gb_1.jpg; ; ; ; ; ; ; ; ; 0; ; ; ; ;
